iso3,country,hdicode,hdi_rank_2023,hdi_2023,hdi_2022
AFG,Afghanistan,Low,181,0.496,0.495
ALB,Albania,Very High,71,0.81,0.806
DZA,Algeria,High,96,0.763,0.761
AND,Andorra,Very High,32,0.913,0.893
AGO,Angola,Medium,148,0.616,0.615
ATG,Antigua and Barbuda,Very High,53,0.851,0.848
ARG,Argentina,Very High,47,0.865,0.858
ARM,Armenia,Very High,69,0.811,0.801
AUS,Australia,Very High,7,0.958,0.952
AUT,Austria,Very High,22,0.93,0.927
AZE,Azerbaijan,High,81,0.789,0.784
BHS,Bahamas,Very High,66,0.82,0.818
BHR,Bahrain,Very High,38,0.899,0.902
BGD,Bangladesh,Medium,130,0.685,0.68
BRB,Barbados,Very High,69,0.811,0.807
BLR,Belarus,Very High,65,0.824,0.824
BEL,Belgium,Very High,10,0.951,0.945
BLZ,Belize,High,115,0.721,0.717
BEN,Benin,Low,173,0.515,0.512
BTN,Bhutan,Medium,125,0.698,0.695
BOL,Bolivia (Plurinational State of),High,108,0.733,0.727
BIH,Bosnia and Herzegovina,Very High,74,0.804,0.799
BWA,Botswana,High,111,0.731,0.729
BRA,Brazil,High,84,0.786,0.78
BRN,Brunei Darussalam,Very High,60,0.837,0.825
BGR,Bulgaria,Very High,55,0.845,0.835
BFA,Burkina Faso,Low,186,0.459,0.457
BDI,Burundi,Low,187,0.439,0.437
CPV,Cabo Verde,Medium,135,0.668,0.664
KHM,Cambodia,Medium,151,0.606,0.602
CMR,Cameroon,Medium,155,0.588,0.581
CAN,Canada,Very High,16,0.939,0.935
CAF,Central African Republic,Low,191,0.414,
TCD,Chad,Low,190,0.416,0.414
CHL,Chile,Very High,45,0.878,0.869
CHN,China,High,78,0.797,0.796
COL,Colombia,High,83,0.788,0.782
COM,Comoros,Medium,152,0.603,0.602
COG,Congo,Medium,138,0.649,0.644
COD,Congo (Democratic Republic of the),Low,171,0.522,0.514
CRI,Costa Rica,Very High,62,0.833,0.823
HRV,Croatia,Very High,41,0.889,0.886
CUB,Cuba,High,97,0.762,0.764
CYP,Cyprus,Very High,32,0.913,0.908
CZE,Czechia,Very High,29,0.915,0.911
CIV,Côte d'Ivoire,Medium,157,0.582,0.565
DNK,Denmark,Very High,4,0.962,0.959
DJI,Djibouti,Low,175,0.513,0.51
DMA,Dominica,High,98,0.761,0.759
DOM,Dominican Republic,High,89,0.776,0.778
ECU,Ecuador,High,88,0.777,0.773
EGY,Egypt,High,100,0.754,0.751
SLV,El Salvador,Medium,132,0.678,0.674
GNQ,Equatorial Guinea,Medium,133,0.674,0.677
ERI,Eritrea,Low,178,0.503,0.499
EST,Estonia,Very High,36,0.905,0.902
SWZ,Eswatini (Kingdom of),Medium,126,0.695,0.695
ETH,Ethiopia,Low,180,0.497,0.494
FJI,Fiji,High,111,0.731,0.726
FIN,Finland,Very High,12,0.948,0.946
FRA,France,Very High,26,0.92,0.916
GAB,Gabon,High,108,0.733,0.73
GMB,Gambia,Low,170,0.524,0.519
GEO,Georgia,Very High,57,0.844,0.838
DEU,Germany,Very High,5,0.959,0.955
GHA,Ghana,Medium,143,0.628,0.625
GRC,Greece,Very High,34,0.908,0.897
GRD,Grenada,High,80,0.791,0.789
GTM,Guatemala,Medium,137,0.662,0.655
GIN,Guinea,Low,179,0.5,0.498
GNB,Guinea-Bissau,Low,174,0.514,0.511
GUY,Guyana,High,89,0.776,0.763
HTI,Haiti,Medium,166,0.554,0.552
HND,Honduras,Medium,139,0.645,0.643
HKG,"Hong Kong, China (SAR)",Very High,8,0.955,0.95
HUN,Hungary,Very High,46,0.87,0.867
ISL,Iceland,Very High,1,0.972,0.964
IND,India,Medium,130,0.685,0.676
IDN,Indonesia,High,113,0.728,0.726
IRN,Iran (Islamic Republic of),High,75,0.799,0.793
IRQ,Iraq,Medium,126,0.695,0.695
IRL,Ireland,Very High,11,0.949,0.947
ISR,Israel,Very High,27,0.919,0.921
ITA,Italy,Very High,29,0.915,0.905
JAM,Jamaica,High,117,0.72,0.718
JPN,Japan,Very High,23,0.925,0.921
