ISO;Score 2026;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
FIN;86,22;6;89,16;8;78,68;5;85,62;10;83,59;14;94,05;14;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;??????;??????;2026;5;-1;87,18;-0,96
EST;88,54;3;90,29;4;75,33;8;89,25;5;92,33;1;95,53;7;UE Balkans;Estonie;Estonia;Estonia;Estônia ;???????;??????;2026;2;-1;89,46;-0,92
NLD;88,92;2;89,31;7;85,38;2;90,68;2;87,7;6;91,52;33;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;??????;????;2026;3;1;88,64;0,28
SWE;87,61;5;89,61;6;81,67;3;88,82;6;84,53;11;93,41;18;UE Balkans;Suède;Sweden;Suecia;Suécia ;??????;????;2026;4;-1;88,13;-0,52
LTU;81,34;15;74,05;24;68,03;14;86,29;8;85,82;9;92,49;26;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;????????;???????;2026;14;-1;82,27;-0,93
DNK;88,47;4;91,79;2;79,51;4;86,56;7;88,79;5;95,69;5;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;????????;???????;2026;6;2;86,93;1,54
IRL;85,93;7;90,5;3;76,59;6;80,82;25;86,2;7;95,54;6;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;???????;??????;2026;7;0;86,92;-0,99
PRT;83,71;10;86,76;9;62,25;26;85,86;9;89,29;4;94,4;12;UE Balkans;Portugal;Portugal;Portugal;Portugal ;????????;??????;2026;8;-2;84,26;-0,55
CHE;84,83;8;89,65;5;70,67;11;82,74;18;85,86;8;95,24;9;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;??????;?????;2026;9;1;83,98;0,85
CZE;83,01;11;76,25;20;66,46;17;89,53;4;89,31;3;93,49;16;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;??????; ??;2026;10;-1;83,96;-0,95
NOR;92,72;1;95,98;1;87,22;1;91,76;1;92,19;2;96,46;1;UE Balkans;Norvège;Norway;Noruega;Noruega ;???????;????;2026;1;0;92,31;0,41
LIE;82,62;13;77,31;18;65,41;18;89,69;3;84,84;10;95,83;4;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;??????????;????????????;2026;12;-1;83,42;-0,8
LUX;84,14;9;86,07;10;72,44;9;81,83;23;84,08;12;96,25;3;UE Balkans;Luxembourg;Luxembourg;Luxemburgo;Luxemburgo ;?????????;??????????;2026;13;4;83,04;1,1
DEU;82,17;14;82,38;13;75,87;7;84,82;11;77,66;34;90,14;39;UE Balkans;Allemagne;Germany;Alemania;Alemanha ;???????;?????;2026;11;-3;83,85;-1,68
LVA;81;17;79,99;16;69,75;12;82,22;20;79,41;25;93,64;15;UE Balkans;Lettonie;Latvia;Letonia;Letônia ;??????;??????;2026;15;-2;81,82;-0,82
NZL;77,38;22;78,4;17;64,44;21;76,35;38;75,95;42;91,76;30;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;??????????;????? ??;2026;16;-6;81,37;-3,99
ISL;82,77;12;85,69;11;65,09;19;83,61;14;83,97;13;95,47;8;UE Balkans;Islande;Iceland;Islandia;Islândia ;???????;??????;2026;17;5;81,36;1,41
BEL;81,17;16;81,97;15;69,07;13;82,37;19;81,94;16;90,52;36;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;??????;?????;2026;18;2;80,12;1,05
