rank,country,score,rank_2024
1,Finland,7.764,1
2,Iceland,7.54,3
3,Denmark,7.539,2
4,Costa Rica,7.439,6
5,Sweden,7.255,4
6,Norway,7.242,7
7,Netherlands,7.223,5
8,Israel,7.187,8
9,Luxembourg,7.063,9
10,Switzerland,7.018,13
11,New Zealand,6.995,12
12,Mexico,6.972,10
13,Ireland,6.928,15
14,Belgium,6.926,14
15,Australia,6.916,11
16,Kosovo,6.91,29
17,Germany,6.882,22
18,Slovenia,6.868,19
19,Austria,6.845,17
20,Czechia,6.821,20
21,United Arab Emirates,6.821,21
22,Saudi Arabia,6.817,32
23,United States,6.816,24
24,Poland,6.768,26
25,Canada,6.741,18
26,Taiwan Province of China,6.714,27
27,Belize,6.711,25
28,Lithuania,6.704,16
29,United Kingdom,6.694,23
30,Serbia,6.691,31
31,Uruguay,6.635,28
32,Brazil,6.634,36
33,Kazakhstan,6.633,43
34,Romania,6.629,35
35,France,6.586,33
36,Singapore,6.585,34
37,El Salvador,6.578,37
38,Italy,6.574,40
39,Panama,6.547,41
40,Kuwait,6.543,30
41,Spain,6.54,38
42,Guatemala,6.533,44
43,Malta,6.436,48
44,Argentina,6.43,42
45,Viet Nam,6.428,46
46,Estonia,6.41,39
47,Bosnia and Herzegovina,6.381,56
48,Latvia,6.365,51
49,Jamaica,6.305,73
50,Chile,6.302,45
51,Nicaragua,6.301,47
52,Thailand,6.296,49
53,Uzbekistan,6.283,53
54,Slovakia,6.255,50
55,Bahrain,6.254,59
56,Philippines,6.206,57
57,Paraguay,6.198,54
58,Oman,6.197,52
59,Ecuador,6.144,62
60,Montenegro,6.139,71
61,Japan,6.13,55
62,Cyprus,6.126,67
63,Honduras,6.096,63
64,Dominican Republic,6.093,76
65,China,6.074,68
66,Kyrgyzstan,6.049,75
67,Republic of Korea,6.04,58
68,Colombia,6.04,61
69,Portugal,6.029,60
70,Croatia,6.009,72
71,Malaysia,6.005,64
72,Peru,5.974,65
73,Mauritius,5.939,78
74,Hungary,5.937,69
75,Mongolia,5.936,77
76,Trinidad and Tobago,5.905,70
77,Republic of Moldova,5.851,80
78,Bolivia,5.835,74
79,Russian Federation,5.834,66
80,Venezuela,5.756,82
81,Libya,5.731,79
82,North Macedonia,5.719,86
83,Algeria,5.714,84
84,Bulgaria,5.703,85
85,Greece,5.697,81
86,Albania,5.662,89
87,Indonesia,5.617,83
88,Tajikistan,5.591,90
89,Armenia,5.584,87
90,Hong Kong SAR of China,5.569,88
91,Georgia,5.517,91
92,Lao PDR,5.515,93
93,Mozambique,5.336,96
94,Türkiye,5.3,94
95,Iraq,5.212,101
96,Gabon,5.167,97
97,Iran,5.151,99
98,Côte d’Ivoire,5.148,98
99,Nepal,5.147,92
100,Cameroon,5.083,104
101,South Africa,5.009,95
102,Azerbaijan,4.993,106
103,Niger,4.94,110
104,Pakistan,4.868,109
105,Tunisia,4.798,113
106,Nigeria,4.788,105
107,Senegal,4.787,107
108,Namibia,4.781,103
109,State of Palestine,4.694,108
110,Kenya,4.674,115
111,Ukraine,4.658,111
112,Morocco,4.646,112
113,Guinea,4.609,102
114,Mali,4.588,123
115,Ghana,4.554,125
116,India,4.536,118
117,Somalia,4.508,122
118,Uganda,4.491,116
119,Jordan,4.478,128
120,Mauritania,4.473,114
121,Cambodia,4.462,124
122,Congo,4.456,100
123,Burkina Faso,4.455,120
124,Benin,4.393,121
125,Chad,4.385,119
126,Lesotho,4.375,138
127,Bangladesh,4.319,134
128,Gambia,4.306,117
129,Myanmar,4.287,126
130,Liberia,4.28,129
131,Togo,4.277,127
132,Madagascar,4.174,130
133,Zambia,4.106,131
134,Sri Lanka,4.013,133
135,Ethiopia,3.985,132
136,Comoros,3.925,139
137,Eswatini,3.909,137
138,Tanzania,3.902,136
139,Egypt,3.862,135
140,DR Congo,3.761,141
141,Lebanon,3.723,145
142,Yemen,3.532,140
143,Botswana,3.464,142
144,Zimbabwe,3.346,143
145,Malawi,3.284,144
146,Sierra Leone,3.251,146
147,Afghanistan,1.446,147
