Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czechia,Denmark,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Ethiopia,Finland,France,Gabon,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Türkiye,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,DZA,AGO,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GUY,HTI,HND,HKG,HUN,IND,IDN,IRN,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,XKX,KWT,KGZ,LVA,LBN,LBR,LTU,LUX,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,PAK,PAN,PRY,PER,PHL,POL,PRT,ROU,RUS,RWA,SEN,SRB,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWE,TZA,THA,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe and Central Asia,Middle East and North Africa,Sub-Saharan Africa,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,EU + EFTA + North America,Latin America and Caribbean,South Asia,Latin America and Caribbean,Eastern Europe and Central Asia,EU + EFTA + North America,Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,Eastern Europe and Central Asia,Sub-Saharan Africa,Latin America and Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,EU + EFTA + North America,Latin America and Caribbean,East Asia and Pacific,Latin America and Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Latin America and Caribbean,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,Middle East and North Africa,Latin America and Caribbean,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,Latin America and Caribbean,Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,EU + EFTA + North America,South Asia,East Asia and Pacific,Middle East and North Africa,EU + EFTA + North America,EU + EFTA + North America,Latin America and Caribbean,East Asia and Pacific,Middle East and North Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,East Asia and Pacific,Eastern Europe and Central Asia,Middle East and North Africa,Eastern Europe and Central Asia,EU + EFTA + North America,Middle East and North Africa,Sub-Saharan Africa,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,EU + EFTA + North America,Sub-Saharan Africa,Sub-Saharan Africa,Latin America and Caribbean,Eastern Europe and Central Asia,East Asia and Pacific,Eastern Europe and Central Asia,Middle East and North Africa,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,South Asia,EU + EFTA + North America,East Asia and Pacific,Latin America and Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,EU + EFTA + North America,South Asia,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,EU + EFTA + North America,EU + EFTA + North America,EU + EFTA + North America,Eastern Europe and Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,East Asia and Pacific,EU + EFTA + North America,EU + EFTA + North America,Sub-Saharan Africa,EU + EFTA + North America,South Asia,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,EU + EFTA + North America,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,Latin America and Caribbean,Middle East and North Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,Eastern Europe and Central Asia,Middle East and North Africa,EU + EFTA + North America,EU + EFTA + North America,Latin America and Caribbean,Eastern Europe and Central Asia,Latin America and Caribbean,East Asia and Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low,Upper-middle,Lower-middle,Lower-middle,High,Upper-middle,High,High,High,Lower-middle,High,Upper-middle,High,Upper-middle,Lower-middle,Lower-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Low,Lower-middle,Lower-middle,High,High,Upper-middle,Upper-middle,Low,Lower-middle,Upper-middle,Lower-middle,High,High,High,High,Upper-middle,Upper-middle,Upper-middle,Lower-middle,Upper-middle,High,Low,High,High,Upper-middle,Low,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Lower-middle,High,Lower-middle,Lower-middle,High,High,Lower-middle,Upper-middle,Lower-middle,High,High,Upper-middle,High,Lower-middle,Upper-middle,Lower-middle,High,Upper-middle,High,Lower-middle,High,Lower-middle,Low,High,High,Low,Low,Upper-middle,Low,High,Lower-middle,Upper-middle,Upper-middle,Upper-middle,Lower-middle,Upper-middle,Lower-middle,Low,Lower-middle,Upper-middle,Lower-middle,High,High,Lower-middle,Low,Lower-middle,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Lower-middle,High,High,High,Upper-middle,Low,Lower-middle,Upper-middle,Low,High,High,High,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Low,Upper-middle,High,Lower-middle,Upper-middle,Low,High,Lower-middle,Upper-middle,Low,Lower-middle,High,High,High,High,Lower-middle,Upper-middle,Lower-middle,Lower-middle,Lower-middle
WJP Rule of Law Index: Overall Score,0.31621326,0.48284778,0.49405071,0.42643447,0.63668172,0.54586512,0.79796449,0.79357041,0.58954307,0.38610905,0.65881765,0.44654317,0.78135737,0.49503105,0.47632851,0.36758422,0.51937219,0.58929817,0.49739228,0.55796103,0.46141529,0.31039134,0.35741488,0.79733545,0.65724766,0.47311808,0.48053513,0.34324139,0.40244352,0.67574259,0.45057940,0.61077850,0.67089212,0.73982680,0.89921528,0.57644631,0.49337793,0.46215188,0.35082608,0.43150641,0.81705615,0.37128851,0.87469679,0.72474320,0.39680261,0.48998610,0.59563626,0.83428785,0.54757786,0.60171063,0.60137741,0.44339566,0.41079945,0.50021559,0.33108139,0.41684770,0.72188342,0.51296332,0.49752571,0.52767379,0.38568013,0.82034641,0.65988117,0.57034959,0.78634689,0.54807044,0.53606728,0.45284287,0.74011755,0.55851358,0.58333446,0.45330772,0.73284030,0.44160743,0.44138477,0.77354717,0.82964845,0.42890418,0.51954548,0.57010232,0.39381025,0.67140954,0.36364004,0.60329895,0.41475340,0.53648993,0.53435940,0.56883058,0.47871511,0.38889221,0.33550159,0.61160147,0.52076532,0.82639164,0.83377974,0.33622265,0.42814604,0.40427035,0.53428682,0.89210520,0.37905464,0.51764745,0.45809617,0.48223151,0.46067093,0.65937648,0.67749664,0.62023322,0.42842878,0.63431696,0.55213630,0.47471312,0.43369365,0.78260907,0.65882590,0.68934384,0.56349171,0.71456847,0.50665445,0.63569126,0.61657485,0.61626568,0.35255172,0.49366733,0.85638265,0.46636541,0.49771263,0.44538375,0.51164143,0.50358156,0.41554075,0.38799231,0.48694407,0.63529858,0.78498046,0.69899588,0.71936750,0.49451741,0.26071330,0.49646699,0.45235984,0.39673189
Factor 1: Constraints on Government Powers,0.34776721,0.42538662,0.48038703,0.40483418,0.61657498,0.55761621,0.81564114,0.82135999,0.58876008,0.36485157,0.64941977,0.25754477,0.81085278,0.47976509,0.48697529,0.35176632,0.46284021,0.60659666,0.51470869,0.52010530,0.48858902,0.25315578,0.37203448,0.82185856,0.70922050,0.31729341,0.49766859,0.39376313,0.35742302,0.75909678,0.38674954,0.56961659,0.66646169,0.74760122,0.94195622,0.52507844,0.50989218,0.50809120,0.23813237,0.36490380,0.82387731,0.32854134,0.91987374,0.72659971,0.30657972,0.57763166,0.51783958,0.85983044,0.65975245,0.64423464,0.57990134,0.48737231,0.37061074,0.53171238,0.35339141,0.39452124,0.55718092,0.35934788,0.56051696,0.63649866,0.32466538,0.83745471,0.70083722,0.63154871,0.72417967,0.46805255,0.44913065,0.48420034,0.71360408,0.56504499,0.54003186,0.43137701,0.70479850,0.47834465,0.50316574,0.76319801,0.81543698,0.42010232,0.57485443,0.56858484,0.40773979,0.62911664,0.34343992,0.57103529,0.43018681,0.53057735,0.52760163,0.54641975,0.51447223,0.40796321,0.26382237,0.65477974,0.58942251,0.83439500,0.85707448,0.22428175,0.36866082,0.48658961,0.47481613,0.91546153,0.44762915,0.53631326,0.49385155,0.57967429,0.47667958,0.60638470,0.74629756,0.59665985,0.31032399,0.61231518,0.54614809,0.34288572,0.46748623,0.68130590,0.64321274,0.65632037,0.61396245,0.70010901,0.51372923,0.62305187,0.60085460,0.57977588,0.27140813,0.48687949,0.85600732,0.49770256,0.45985756,0.36544155,0.51811730,0.50532929,0.28537766,0.38093363,0.46417715,0.57998547,0.81860519,0.66924904,0.76607124,0.37172701,0.18033435,0.47294826,0.46343089,0.32970399
1.1 Government powers are effectively limited by the legislature,0.48988822,0.43437940,0.51195330,0.49324207,0.54923583,0.59713094,0.84908267,0.83999570,0.58393992,0.53184707,0.76025585,0.26042037,0.83117075,0.53317650,0.48117444,0.38745791,0.52440760,0.63316851,0.63159752,0.60519989,0.53503525,0.38189123,0.39804323,0.77554961,0.69888691,0.34339356,0.56778986,0.49113130,0.38493587,0.77064503,0.41292998,0.56996580,0.73133780,0.74206014,0.90876494,0.41283803,0.58750511,0.59921524,0.08752586,0.41896243,0.81180907,0.41565284,0.86999236,0.70916189,0.37996981,0.72030949,0.55534141,0.83013574,0.75644294,0.60836869,0.52880816,0.60594317,0.43694919,0.60443996,0.34789440,0.43153018,0.53871987,0.34803645,0.66340502,0.75998309,0.36293475,0.85159508,0.71555944,0.61720791,0.62838771,0.46899903,0.47974873,0.59345348,0.67467275,0.62256725,0.57558594,0.49671281,0.73172113,0.64666577,0.52344843,0.76961515,0.86349462,0.43609742,0.59109031,0.57281025,0.50426717,0.52182367,0.35973173,0.61304283,0.45723861,0.66134879,0.65858340,0.59323072,0.58536083,0.51269654,0.24259339,0.72662690,0.72383852,0.79386095,0.86455947,0.35918704,0.48568798,0.65088297,0.52208236,0.92867219,0.54882211,0.56309286,0.62287328,0.68746132,0.55325058,0.56446835,0.82607483,0.68740064,0.34326117,0.52741162,0.52604565,0.35068324,0.55628591,0.48631744,0.66535245,0.69267960,0.58557336,0.71967955,0.50733854,0.59543459,0.64400143,0.53393817,0.23711112,0.53049697,0.79917612,0.55925508,0.49905448,0.45618746,0.60823665,0.44283102,0.38329597,0.39994102,0.52876119,0.52774636,0.83321683,0.67879647,0.77215714,0.32227569,0.32513801,0.40685459,0.48796817,0.33553962
1.2 Government powers are effectively limited by the judiciary,0.30634894,0.29519334,0.44345108,0.39353783,0.72716720,0.44146181,0.83143694,0.81446757,0.59401987,0.46297069,0.77334014,0.24892233,0.77509009,0.54165076,0.41711850,0.27319624,0.38857556,0.63100902,0.57371574,0.46376792,0.46453781,0.23356342,0.30361446,0.84201633,0.59441617,0.26958438,0.48105207,0.37775613,0.33311510,0.70026719,0.36036859,0.46119351,0.60611673,0.72999778,0.95519682,0.56988821,0.45423573,0.47138306,0.31430762,0.34164948,0.82456013,0.32222886,0.89703094,0.66617783,0.27133429,0.66512854,0.43501958,0.82654478,0.63446399,0.62719623,0.69709950,0.47299983,0.30388811,0.60138587,0.35497042,0.34828889,0.59301637,0.38812971,0.60286132,0.65073696,0.33873638,0.83364381,0.68673778,0.69683433,0.71605837,0.47180882,0.45163373,0.50746914,0.60265751,0.46001253,0.57573243,0.27937185,0.65321953,0.43099402,0.49422309,0.67350097,0.80560971,0.37403386,0.64150789,0.62510933,0.35752135,0.65867939,0.25477180,0.65745750,0.40697623,0.42228284,0.49178706,0.41674252,0.50739630,0.40936770,0.37151580,0.72323578,0.59361980,0.84892506,0.87311892,0.29952580,0.37061761,0.47620310,0.31757471,0.94744820,0.46134926,0.47639106,0.39905608,0.52076045,0.50390407,0.56857626,0.71031826,0.56365817,0.30551136,0.55771657,0.45921649,0.30810309,0.40285714,0.74747747,0.56478165,0.60968042,0.67000684,0.63750646,0.56756060,0.69860240,0.69699922,0.60345055,0.27046162,0.57747893,0.82337102,0.52816715,0.56354889,0.33748397,0.62149114,0.40603995,0.31597371,0.38402571,0.31582454,0.55844434,0.82156979,0.68089734,0.72843801,0.35674438,0.12923890,0.38678765,0.37150594,0.30703789
1.3 Government powers are effectively limited by independent auditing and review,0.38955266,0.49363988,0.49053571,0.38639159,0.56984446,0.51112506,0.75736714,0.79078757,0.51333908,0.32092382,0.39881200,0.26989622,0.83849961,0.32980634,0.41643146,0.27353365,0.54478975,0.53941551,0.40715782,0.50436327,0.49247471,0.18148017,0.43351886,0.76024045,0.80589860,0.43557520,0.47386498,0.37860184,0.33095383,0.77035127,0.44780693,0.58051278,0.70427524,0.77310193,0.95950699,0.69405977,0.36438543,0.47670288,0.26259463,0.24186075,0.86935801,0.35477580,0.96869431,0.75950624,0.36552613,0.30143602,0.57242767,0.90029100,0.65548192,0.65664944,0.41762277,0.33581928,0.34814693,0.45640372,0.36120245,0.35882551,0.52591864,0.26016330,0.52341201,0.54647006,0.36515765,0.85903473,0.74302797,0.65218548,0.73750047,0.53903375,0.47397119,0.45273710,0.83074515,0.55955846,0.37674938,0.41133736,0.73390930,0.46572295,0.46013239,0.80658684,0.83549893,0.45627753,0.49064271,0.58207542,0.34774044,0.63818952,0.37160094,0.39772171,0.37880272,0.52500777,0.43552659,0.64575920,0.49199851,0.40137111,0.16651423,0.49999912,0.51217538,0.87097488,0.83297874,0.06108773,0.25860085,0.46609401,0.56182538,0.82153595,0.42173846,0.46928025,0.34756066,0.56156136,0.43491184,0.58275988,0.69304271,0.48912521,0.29861581,0.65109842,0.50951228,0.37293189,0.45397517,0.71502811,0.65578390,0.64651536,0.57708054,0.71132740,0.40728752,0.64027385,0.38574923,0.56178513,0.17446018,0.38055222,0.92478069,0.46123506,0.37884246,0.34010776,0.30921489,0.49935476,0.19180144,0.43451375,0.41699413,0.75057731,0.81254704,0.67565308,0.72153318,0.31534899,0.08723704,0.51884987,0.49649678,0.44379682
1.4 Government officials are sanctioned for misconduct,0.29238367,0.37315069,0.53824114,0.35885353,0.44835067,0.35568740,0.75625825,0.77095346,0.44157058,0.32475498,0.42362764,0.39485548,0.75177903,0.27738360,0.48565904,0.26083172,0.39194176,0.52640549,0.27702297,0.34433495,0.43654245,0.24066174,0.37061684,0.75714416,0.55596877,0.47825936,0.37110967,0.35829013,0.35335668,0.59927645,0.37745236,0.47903825,0.51703925,0.60673491,0.92560049,0.39618850,0.35348243,0.34968988,0.38228804,0.27958408,0.77965536,0.32993246,0.92996341,0.66762126,0.24948240,0.41487473,0.36702687,0.83136985,0.49208793,0.48841014,0.48812918,0.31587554,0.30673013,0.37327476,0.21450512,0.24723855,0.68902098,0.34040259,0.36727036,0.57242081,0.33865083,0.73296629,0.58287077,0.44271873,0.70990577,0.53477065,0.46871485,0.32994444,0.67269815,0.47250777,0.62604705,0.43283556,0.62697260,0.32324178,0.34522790,0.71379380,0.72449997,0.35307000,0.46188236,0.56392769,0.26904302,0.52327331,0.28554101,0.48988222,0.26022756,0.36923229,0.44768675,0.41277839,0.49901939,0.35560898,0.27398476,0.58584804,0.47633857,0.80059896,0.80318340,0.11382330,0.30457932,0.41182016,0.35089970,0.88406113,0.32191773,0.31870618,0.33900931,0.42383918,0.38437069,0.49797410,0.58525043,0.48424857,0.29381414,0.78020811,0.50073161,0.23135461,0.34854897,0.88439063,0.45684818,0.50806592,0.44749106,0.62131993,0.40987776,0.47037526,0.49502232,0.50876354,0.25025833,0.37273166,0.80838166,0.49474804,0.42389944,0.29756529,0.30106275,0.47179574,0.24157849,0.38586255,0.29532698,0.74145786,0.75790800,0.54528216,0.69197176,0.42453702,0.10286361,0.62955472,0.50820912,0.36932168
1.5 Government powers are subject to non-governmental checks,0.36105010,0.49741268,0.39977853,0.39180294,0.63906448,0.70189318,0.78547810,0.78183665,0.64048635,0.24777330,0.73492969,0.18837836,0.79303970,0.56212333,0.48100859,0.47184139,0.43250540,0.59536658,0.53389602,0.60355387,0.52726953,0.24681739,0.34850338,0.84654309,0.71651749,0.10818607,0.50758360,0.37403128,0.27926764,0.80824936,0.32438968,0.62844154,0.63285213,0.73122542,0.93146330,0.51095680,0.66550332,0.55260258,0.07132818,0.42625070,0.78105918,0.23487654,0.87758072,0.68283403,0.31912012,0.61847589,0.64316986,0.82864688,0.69626039,0.63119769,0.64696321,0.60311152,0.48322521,0.56814437,0.51567499,0.51110406,0.45135745,0.40007812,0.51249127,0.61796765,0.17305514,0.80023327,0.66907406,0.63763129,0.72164379,0.38315014,0.38303320,0.53378776,0.66150823,0.59556235,0.50701234,0.53239586,0.68394727,0.54719706,0.57339367,0.74955142,0.75889792,0.45743248,0.58625386,0.47157875,0.51189473,0.62525012,0.33719231,0.58437223,0.47375633,0.57455021,0.58789042,0.61665124,0.45356508,0.38923953,0.20148424,0.69784455,0.60848612,0.79326450,0.82987756,0.30988863,0.37597812,0.49049134,0.55278875,0.93922988,0.47973667,0.65368081,0.62294552,0.62762566,0.50859604,0.65576410,0.77716697,0.67279779,0.30078279,0.45782262,0.58690024,0.42834787,0.51838129,0.47959594,0.67407840,0.67564872,0.69795290,0.68652119,0.56500209,0.63854301,0.63250506,0.56624535,0.39253825,0.51025598,0.85564186,0.43112317,0.50752012,0.41136441,0.60311046,0.52726425,0.25177818,0.34876434,0.58182127,0.31172987,0.82511884,0.70599725,0.77878737,0.39285448,0.25224033,0.40331463,0.40249177,0.26137630
