Country,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,The Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czechia,Denmark,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Ethiopia,Finland,France,Gabon,The Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Rwanda,Senegal,Serbia,Sierra Leone,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Türkiye,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,"Venezuela, RB",Vietnam,Zambia,Zimbabwe
Country Code,AFG,ALB,DZA,AGO,ATG,ARG,AUS,AUT,BHS,BGD,BRB,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BGR,BFA,KHM,CMR,CAN,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DMA,DOM,ECU,EGY,SLV,EST,ETH,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GUY,HTI,HND,HKG,HUN,IND,IDN,IRN,IRL,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,XKX,KWT,KGZ,LVA,LBN,LBR,LTU,LUX,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,MKD,NOR,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SEN,SRB,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWE,TZA,THA,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VEN,VNM,ZMB,ZWE
Region,South Asia,Eastern Europe and Central Asia,Middle East and North Africa,Sub-Saharan Africa,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,"EU, EFTA, and North America",Latin America and Caribbean,South Asia,Latin America and Caribbean,Eastern Europe and Central Asia,"EU, EFTA, and North America",Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,Eastern Europe and Central Asia,Sub-Saharan Africa,Latin America and Caribbean,"EU, EFTA, and North America",Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,"EU, EFTA, and North America",Latin America and Caribbean,East Asia and Pacific,Latin America and Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Latin America and Caribbean,Sub-Saharan Africa,"EU, EFTA, and North America","EU, EFTA, and North America","EU, EFTA, and North America","EU, EFTA, and North America",Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,Middle East and North Africa,Latin America and Caribbean,"EU, EFTA, and North America",Sub-Saharan Africa,"EU, EFTA, and North America","EU, EFTA, and North America",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,"EU, EFTA, and North America",Sub-Saharan Africa,"EU, EFTA, and North America",Latin America and Caribbean,Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,"EU, EFTA, and North America",South Asia,East Asia and Pacific,Middle East and North Africa,"EU, EFTA, and North America","EU, EFTA, and North America",Latin America and Caribbean,East Asia and Pacific,Middle East and North Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,East Asia and Pacific,Eastern Europe and Central Asia,Middle East and North Africa,Eastern Europe and Central Asia,"EU, EFTA, and North America",Middle East and North Africa,Sub-Saharan Africa,"EU, EFTA, and North America","EU, EFTA, and North America",Sub-Saharan Africa,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,"EU, EFTA, and North America",Sub-Saharan Africa,Sub-Saharan Africa,Latin America and Caribbean,Eastern Europe and Central Asia,East Asia and Pacific,Eastern Europe and Central Asia,Middle East and North Africa,Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,South Asia,"EU, EFTA, and North America",East Asia and Pacific,Latin America and Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,"EU, EFTA, and North America",South Asia,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,East Asia and Pacific,"EU, EFTA, and North America","EU, EFTA, and North America",Middle East and North Africa,"EU, EFTA, and North America",Eastern Europe and Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,East Asia and Pacific,"EU, EFTA, and North America","EU, EFTA, and North America",Sub-Saharan Africa,"EU, EFTA, and North America",South Asia,Latin America and Caribbean,Latin America and Caribbean,Latin America and Caribbean,Sub-Saharan Africa,Latin America and Caribbean,"EU, EFTA, and North America",Sub-Saharan Africa,East Asia and Pacific,Sub-Saharan Africa,Latin America and Caribbean,Middle East and North Africa,Eastern Europe and Central Asia,Sub-Saharan Africa,Eastern Europe and Central Asia,Middle East and North Africa,"EU, EFTA, and North America","EU, EFTA, and North America",Latin America and Caribbean,Eastern Europe and Central Asia,Latin America and Caribbean,East Asia and Pacific,Sub-Saharan Africa,Sub-Saharan Africa
Income Group,Low,Upper-middle,Upper-middle,Lower-middle,High,Upper-middle,High,High,High,Lower-middle,High,Upper-middle,High,Upper-middle,Lower-middle,Lower-middle,Upper-middle,Upper-middle,Upper-middle,High,Low,Lower-middle,Lower-middle,High,High,Upper-middle,Upper-middle,Low,Lower-middle,High,Lower-middle,High,High,High,High,Upper-middle,Upper-middle,Upper-middle,Lower-middle,Upper-middle,High,Low,High,High,Upper-middle,Low,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Lower-middle,High,Lower-middle,Lower-middle,High,High,Lower-middle,Upper-middle,Upper-middle,High,High,Upper-middle,High,Lower-middle,Upper-middle,Lower-middle,High,Upper-middle,High,Lower-middle,High,Lower-middle,Low,High,High,Low,Low,Upper-middle,Low,High,Lower-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Lower-middle,Low,Lower-middle,Lower-middle,Lower-middle,High,High,Lower-middle,Low,Lower-middle,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Lower-middle,High,High,High,High,High,Low,Lower-middle,Upper-middle,Low,High,High,High,Upper-middle,High,Lower-middle,High,Upper-middle,Upper-middle,Low,Upper-middle,High,Lower-middle,Upper-middle,Low,High,Lower-middle,Upper-middle,Low,Upper-middle,High,High,High,High,Lower-middle,Upper-middle,Lower-middle,Lower-middle,Lower-middle
WJP Rule of Law Index: Overall Score,0.30764429,0.48877582,0.48857478,0.42317338,0.63719661,0.54045581,0.79630136,0.79426923,0.58396263,0.39126680,0.66109376,0.44475383,0.78141921,0.49650438,0.47187284,0.36541580,0.51994863,0.59548103,0.50271197,0.55251684,0.45197536,0.31025398,0.35633851,0.79413974,0.65501172,0.47709017,0.47184299,0.33908811,0.39952319,0.67563572,0.44405588,0.60745101,0.67323453,0.73902408,0.89786373,0.57679435,0.50376138,0.45550633,0.34621281,0.41992069,0.81892344,0.36220672,0.87070530,0.72377548,0.40204301,0.48625897,0.58114936,0.83332430,0.54499807,0.59691846,0.59669006,0.43949764,0.40879427,0.49976778,0.32376015,0.41139412,0.71824242,0.50260437,0.48898741,0.52387695,0.38246528,0.82349310,0.65651175,0.56986124,0.78367491,0.55158001,0.53631610,0.45068960,0.74324292,0.56098566,0.57898735,0.44826869,0.73348182,0.44185147,0.44144825,0.77418824,0.82977847,0.43209549,0.51987902,0.56995633,0.38519028,0.66978317,0.36177795,0.60351942,0.40311297,0.53044620,0.53220495,0.57089263,0.48061510,0.37387315,0.33605104,0.60877962,0.51926910,0.82085970,0.83394471,0.33124185,0.41672597,0.40565446,0.54133964,0.89026255,0.37050436,0.51866469,0.45373800,0.47656254,0.46245548,0.66222978,0.67384100,0.61698631,0.61299215,0.40731793,0.63387270,0.56109951,0.46606863,0.43981985,0.78334410,0.64349895,0.68340450,0.55944854,0.71060828,0.51212724,0.63256454,0.61501577,0.61505935,0.33694743,0.49495845,0.85227449,0.46076398,0.50288670,0.43259211,0.51133836,0.48982978,0.40770137,0.38402636,0.48365439,0.63984888,0.78447329,0.67977332,0.71827858,0.49687625,0.25974105,0.49549633,0.44991896,0.39277198
Factor 1: Constraints on Government Powers,0.34064524,0.42778642,0.47197537,0.40376636,0.61657498,0.54428276,0.80838137,0.82179855,0.58019897,0.37307648,0.65199045,0.25776191,0.80519042,0.48430781,0.49354998,0.34410982,0.46856297,0.62114217,0.51671335,0.49657126,0.47872202,0.24406720,0.36670334,0.82003572,0.71348218,0.31799006,0.49277824,0.38903257,0.36036171,0.75186674,0.37305605,0.56934757,0.67035363,0.74445963,0.94212046,0.52365228,0.52710771,0.50066619,0.23077249,0.35292423,0.82849087,0.31427355,0.91540457,0.71982171,0.31563168,0.55476645,0.48796216,0.85860509,0.65536091,0.63484547,0.58078899,0.48582484,0.36515733,0.52774526,0.34253750,0.37366058,0.54969374,0.35014158,0.55179086,0.62071422,0.32491677,0.84133701,0.70233130,0.63302375,0.72149353,0.47622664,0.46030614,0.46713306,0.71318940,0.56470803,0.51714610,0.42158276,0.70268124,0.49118825,0.49960451,0.76386298,0.82254317,0.41431639,0.56991840,0.56383712,0.39681091,0.61201467,0.33734554,0.57760527,0.40670966,0.51644634,0.52719299,0.54434648,0.50541503,0.38988146,0.25198844,0.65020843,0.59206221,0.82744786,0.86077266,0.22390126,0.36749355,0.47796408,0.49521944,0.91985063,0.43330151,0.53145716,0.47999390,0.57322256,0.48989495,0.62021741,0.74619062,0.59234578,0.57550156,0.30811294,0.60539607,0.57113479,0.32328524,0.47420242,0.67839401,0.62130580,0.64396370,0.60876732,0.68691895,0.53526521,0.62091161,0.60217467,0.57436862,0.24959056,0.49070522,0.84878175,0.48708661,0.47242739,0.34066153,0.54108623,0.48020311,0.28126499,0.37137813,0.45910104,0.58706526,0.82343992,0.63129882,0.76042576,0.37313648,0.17804540,0.45440790,0.46297393,0.31818033
1.1 Government powers are effectively limited by the legislature,0.48601326,0.44115689,0.50814100,0.50048146,0.54923583,0.59779785,0.84529895,0.83897948,0.57949163,0.54547071,0.76380471,0.25161560,0.82242727,0.54197815,0.47762233,0.39568639,0.53694449,0.64967484,0.63284753,0.58152471,0.50305349,0.38616253,0.39295463,0.77395357,0.68987777,0.34795336,0.56470692,0.48564365,0.38514797,0.75375798,0.39206433,0.57186645,0.72411035,0.72468666,0.92424367,0.40908366,0.59644377,0.59696055,0.08727748,0.42067924,0.81661527,0.39651794,0.86163492,0.71724215,0.39875605,0.69841463,0.52574015,0.82621989,0.76179321,0.62448859,0.50662008,0.60789185,0.42954136,0.60223072,0.33157819,0.40635351,0.53543649,0.33871730,0.64220648,0.72253885,0.36293475,0.84188342,0.71489235,0.62559733,0.62467884,0.47064217,0.48768913,0.56496174,0.67112327,0.60477966,0.48330100,0.47878683,0.73172327,0.65741827,0.49437385,0.77392319,0.86708739,0.42343008,0.55799597,0.56930573,0.47619167,0.49623519,0.37007861,0.62709809,0.42949295,0.64269146,0.65494369,0.59789501,0.54315962,0.48426964,0.25532164,0.72428883,0.70781982,0.79760136,0.85965759,0.36590846,0.48554927,0.62321875,0.55554438,0.92110118,0.52670709,0.56177478,0.60653600,0.68018831,0.57033832,0.57961028,0.82512617,0.63218066,0.67397513,0.33926908,0.53643249,0.56200134,0.31911386,0.57095608,0.48228562,0.63208363,0.68926385,0.56974106,0.68622489,0.52088459,0.59732438,0.63499083,0.50487413,0.17934728,0.54458538,0.80641734,0.56256996,0.52021218,0.44214216,0.63126985,0.42431215,0.40174554,0.38017649,0.52318221,0.52167522,0.82257815,0.61166996,0.76099064,0.32624460,0.33340225,0.38702084,0.49348721,0.32444307
1.2 Government powers are effectively limited by the judiciary,0.30507495,0.32186309,0.43779982,0.39051196,0.72716720,0.42027711,0.83298732,0.81454799,0.58465525,0.46587688,0.77132324,0.25075033,0.77073577,0.54632539,0.41964902,0.27674563,0.39519285,0.64336611,0.57411894,0.44552473,0.46052805,0.23140991,0.31767574,0.84091073,0.57807491,0.27551644,0.48283347,0.37267994,0.34059344,0.68265010,0.35013658,0.46397802,0.59607612,0.73755777,0.95975590,0.55379748,0.47340359,0.46330422,0.30774183,0.32980453,0.82762787,0.30708225,0.90162520,0.66337268,0.27688692,0.65218854,0.42010658,0.83558479,0.61964158,0.62178450,0.69468019,0.48324755,0.29329906,0.60151136,0.34999859,0.32798083,0.56968258,0.37758549,0.59755855,0.62932379,0.33941608,0.83602594,0.68078138,0.69910700,0.70958790,0.47801560,0.46262122,0.48644788,0.60617611,0.47711193,0.55125411,0.27511954,0.65176332,0.44601844,0.49096589,0.67314331,0.81305506,0.36287639,0.63887860,0.62060197,0.35231563,0.64975818,0.25220627,0.64681031,0.38501619,0.40966838,0.49438859,0.42711918,0.50078679,0.40229068,0.36034805,0.72075369,0.60204961,0.84819509,0.87011508,0.29876462,0.37216518,0.46950940,0.33072702,0.95075981,0.44334946,0.47470033,0.37096357,0.52278929,0.51126621,0.56056304,0.69624658,0.53741154,0.53807990,0.30452816,0.55656319,0.47660483,0.30926553,0.40873186,0.74330707,0.55628073,0.60115226,0.65894983,0.62103064,0.57702869,0.69186616,0.69413148,0.60578641,0.23984906,0.56585910,0.81348473,0.52907143,0.58753826,0.32166034,0.62237968,0.38984942,0.30669657,0.36899532,0.31424316,0.56943295,0.82676091,0.65412236,0.71926987,0.37155432,0.12679591,0.36238984,0.38069540,0.30329730
1.3 Government powers are effectively limited by independent auditing and review,0.37222381,0.47992491,0.48022663,0.36288500,0.56984446,0.48295571,0.72374248,0.78736893,0.51256808,0.35315611,0.39934654,0.27322152,0.82055285,0.33407006,0.43683459,0.25576818,0.53568352,0.55556880,0.42438070,0.48062545,0.47349163,0.14733081,0.41745231,0.75449686,0.82886654,0.43213070,0.46116155,0.39527206,0.35353356,0.77720699,0.44850177,0.55747655,0.70980951,0.76301852,0.94926099,0.67912755,0.39733504,0.47873911,0.25341660,0.23693750,0.87065108,0.35918973,0.95629886,0.73332699,0.38303026,0.30083194,0.55081533,0.88171625,0.64961945,0.63630129,0.43275436,0.32123331,0.35310506,0.45904189,0.35059978,0.33321403,0.52111109,0.26334465,0.51848991,0.55387817,0.36515765,0.85719043,0.74274990,0.64722320,0.71559739,0.56227123,0.46706815,0.45238525,0.81666807,0.54897688,0.37340333,0.42949083,0.71229732,0.46090819,0.44206303,0.79279039,0.85540214,0.43998107,0.51057113,0.57345624,0.33851270,0.59387942,0.33789094,0.41345760,0.34026742,0.51901092,0.44652349,0.63860176,0.49998994,0.38848810,0.13920830,0.48985647,0.54121423,0.86098801,0.82491381,0.05187720,0.28017004,0.46034276,0.57765406,0.84045564,0.42438013,0.45471206,0.32311887,0.56008893,0.44568775,0.60804219,0.69048700,0.72892542,0.49271678,0.30086516,0.62667077,0.54140063,0.34939206,0.45226272,0.71638507,0.62770574,0.62923820,0.57656401,0.71692382,0.44062465,0.62113121,0.41544537,0.56797869,0.16600554,0.40224475,0.90082891,0.43122373,0.36466802,0.28791312,0.35038963,0.44889195,0.17646008,0.43662099,0.40715724,0.77962407,0.84536285,0.63052583,0.71003901,0.30025338,0.07958277,0.49149362,0.49276149,0.42271519
1.4 Government officials are sanctioned for misconduct,0.28005329,0.36330549,0.53633992,0.35654749,0.44835067,0.36795329,0.74608255,0.78019345,0.42413287,0.33524349,0.43122378,0.40181422,0.74615668,0.27393415,0.51042611,0.24257743,0.38516680,0.53032328,0.28574299,0.31549401,0.43267226,0.23975439,0.36352335,0.75681169,0.56610362,0.47976725,0.37251949,0.34991334,0.35081295,0.60860066,0.34724649,0.49012629,0.51789363,0.62661861,0.92993678,0.43687215,0.35878451,0.32417251,0.37434966,0.24958777,0.79466638,0.31050200,0.93101652,0.66934016,0.24916677,0.37804057,0.33872898,0.83909756,0.48718036,0.47260007,0.50921397,0.30070121,0.30477915,0.37257872,0.19174820,0.21275938,0.69383252,0.32623168,0.36521162,0.59530071,0.33947943,0.74926804,0.60896230,0.43905980,0.72708409,0.53265562,0.50527841,0.30598086,0.68324830,0.47470557,0.64799474,0.42140932,0.65115943,0.33945131,0.37663276,0.72000118,0.73296237,0.36540978,0.45992896,0.55515942,0.28735500,0.50280244,0.26881712,0.48501808,0.25233157,0.36324639,0.44761112,0.41215175,0.49021262,0.32585341,0.26327223,0.57544086,0.48628972,0.79961390,0.83277044,0.11530459,0.30468999,0.41988742,0.36141935,0.89504583,0.32986853,0.29516142,0.31993309,0.41852992,0.40661274,0.51652849,0.59773688,0.68862054,0.46809894,0.29305760,0.77807186,0.52610349,0.19235590,0.35088464,0.88398501,0.44453215,0.48458103,0.44706546,0.61810558,0.43694463,0.47317720,0.48569473,0.49870042,0.24294131,0.35158400,0.82273756,0.49188410,0.43613517,0.27484910,0.32104415,0.45914645,0.24455011,0.37033010,0.29629796,0.73629716,0.76392019,0.52103431,0.69559152,0.43708355,0.08994525,0.61614629,0.50335882,0.37216814
1.5 Government powers are subject to non-governmental checks,0.35320026,0.48877232,0.38650915,0.40263146,0.63906448,0.67803430,0.79084366,0.78083443,0.63585738,0.26290959,0.74114318,0.18897279,0.78459251,0.56935570,0.46368263,0.47712467,0.45373755,0.59742068,0.52636317,0.58118049,0.52714734,0.24826324,0.34368268,0.84011997,0.72810048,0.10744900,0.50065488,0.36838733,0.27443104,0.78940854,0.31150290,0.62399316,0.64448882,0.71903625,0.92940759,0.49870442,0.66943507,0.53448370,0.06035343,0.42995440,0.78068291,0.22622618,0.87040731,0.66562152,0.33305108,0.59144421,0.60661931,0.82167089,0.69241217,0.61568133,0.64523407,0.60158835,0.47061462,0.55595877,0.51443711,0.49042623,0.42534470,0.37517806,0.49904406,0.58801383,0.17305514,0.80731728,0.65635083,0.65004587,0.72038611,0.37829200,0.39504202,0.52131907,0.66682752,0.58617798,0.47562774,0.50059509,0.67862884,0.56184677,0.56653590,0.73789738,0.76024944,0.45098721,0.57952424,0.46996306,0.47848840,0.62264115,0.34260595,0.58823199,0.46113580,0.55959420,0.57935570,0.61632233,0.46827956,0.37987313,0.20027243,0.69041026,0.59347417,0.78245413,0.82868933,0.30937470,0.35788812,0.48195294,0.56931625,0.93567952,0.45667418,0.66077255,0.62131844,0.60481558,0.52489584,0.68759330,0.77690902,0.35156857,0.66722577,0.29440932,0.44906766,0.60677064,0.40204632,0.52628106,0.47226972,0.64739250,0.66732524,0.69524401,0.67300394,0.56814238,0.64291689,0.63116854,0.56181353,0.37904215,0.52917422,0.84166049,0.41605272,0.52244910,0.37849345,0.62368642,0.49273394,0.25882448,0.34207539,0.57439404,0.30130324,0.80404410,0.66847197,0.76583742,0.37913967,0.25325806,0.38587210,0.39736815,0.23191197
